Date,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM
2023-03-23,117.90149688720703,58.0684700012207,455.0776672363281,263.673095703125,275.3996887207031,96.3011474609375,54.30155944824219,31.18000030517578,220.8570098876953,99.83753967285156
2023-03-24,119.73639678955078,59.0181884765625,461.53570556640625,265.3453674316406,278.2860412597656,96.22286987304688,53.00730514526367,30.75,219.31907653808594,99.95338439941406
2023-03-27,123.57820892333984,59.45428466796875,460.417236328125,267.79998779296875,274.130126953125,96.5359878540039,54.434783935546875,30.6200008392334,220.0830841064453,102.14496612548828
2023-03-28,123.60688018798828,59.522117614746094,458.52069091796875,269.7657165527344,272.9895324707031,96.59469604492188,55.06288528442383,30.06999969482422,218.6146240234375,103.41936492919922
2023-03-29,123.96047973632812,59.948524475097656,461.1953125,271.32061767578125,278.2265319824219,98.45379638671875,55.3483772277832,30.8700008392334,221.56149291992188,105.19579315185547
2023-03-30,123.49220275878906,59.93883514404297,460.2129821777344,271.66290283203125,281.7376708984375,99.13871765136719,56.281002044677734,31.190000534057617,220.62881469726562,105.70748901367188
2023-03-31,125.279296875,60.11327362060547,459.77532958984375,273.4427185058594,285.95306396484375,101.88822174072266,56.19535446166992,31.700000762939453,223.70468139648438,105.87162017822266
2023-04-03,126.20630645751953,60.471839904785156,473.2846374511719,275.9169616699219,284.8918151855469,102.59272003173828,60.08762741088867,31.459999084472656,227.2171173095703,112.11810302734375
2023-04-04,125.76670837402344,60.28771209716797,475.15203857421875,276.0538330078125,284.8421936035156,101.76103210449219,59.07887649536133,31.389999389648438,225.88754272460938,111.04644012451172
2023-04-05,126.28276824951172,60.85948181152344,476.5622863769531,275.7995910644531,282.02532958984375,102.64164733886719,59.68793869018555,31.1200008392334,226.39358520507812,112.9483871459961
2023-04-06,124.71546173095703,60.89824295043945,476.7373962402344,276.65045166015625,289.22625732421875,102.42638397216797,59.764068603515625,31.18000030517578,224.23056030273438,111.0754165649414
2023-04-10,125.22196960449219,60.75288009643555,483.1370544433594,277.5207824707031,287.03424072265625,102.4850845336914,60.239898681640625,31.739999771118164,224.66712951660156,110.5830307006836
2023-04-11,124.63899993896484,60.646278381347656,474.47125244140625,278.205322265625,280.5276184082031,103.46356201171875,60.58249282836914,31.1200008392334,226.67138671875,111.36503601074219
2023-04-12,122.84232330322266,60.75288009643555,474.72412109375,279.0072326660156,281.1822509765625,103.32657623291016,60.963157653808594,30.59000015258789,226.03639221191406,111.24919891357422
2023-04-13,122.23070526123047,61.198665618896484,478.6534118652344,282.694091796875,287.4805603027344,104.6866455078125,61.315269470214844,31.440000534057617,230.8783721923828,111.77053833007812
2023-04-14,122.46006774902344,61.10175323486328,474.61712646484375,282.6061096191406,283.8106994628906,105.15631866455078,61.81013107299805,31.479999542236328,232.19802856445312,112.04086303710938
2023-04-17,122.15425109863281,61.499088287353516,476.2218933105469,282.9288024902344,286.4490051269531,105.97823333740234,61.22010040283203,32.08000183105469,231.66224670410156,110.73749542236328
2023-04-18,122.11602020263672,61.59599685668945,487.66937255859375,284.4935302734375,286.0224914550781,105.58685302734375,61.08687210083008,31.729999542236328,231.78131103515625,112.9001235961914
