,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM,Mkt-RF,SMB,HML,RMW,CMA,RF
2022-08-12,125.02519989013672,60.39004898071289,414.3494873046875,252.1175842285156,287.388671875,85.48667907714844,48.62032699584961,32.470001220703125,208.80807495117188,89.34040069580078,1.76,0.49,-0.74,-0.65,-0.53,0.008
2022-08-15,125.88351440429688,61.14848327636719,417.9468688964844,255.25245666503903,288.924560546875,86.30950164794922,46.67623901367188,32.4900016784668,213.8373260498047,87.74368286132812,0.38,-0.02,-0.63,-0.18,-0.01,0.008
2022-08-16,127.40423583984376,61.65094375610352,419.9983520507813,256.0699157714844,288.17626953125,86.54183197021484,47.38727188110352,32.380001068115234,214.5487518310547,86.92632293701172,0.19,-0.15,0.7,1.03,0.52,0.008
2022-08-17,128.5517578125,61.50873565673828,421.3628234863281,256.5795288085937,287.4166564941406,85.52539825439453,47.36027145385742,30.71999931335449,211.96002197265625,87.62963104248047,-0.93,-0.92,1.04,1.28,0.66,0.008
2022-08-18,129.74595642089844,61.8310661315918,419.2254638671875,256.34869384765625,286.2820129394531,85.7190170288086,48.28731536865234,30.149999618530277,212.68130493164065,89.70157623291016,0.27,0.35,0.46,0.79,0.08,0.008
2022-08-19,129.09288024902344,61.783668518066406,419.8742980957031,256.31024169921875,282.3158569335937,84.14111328125,47.72028732299805,29.01000022888184,210.28030395507807,89.41644287109375,-1.5,-0.94,0.97,1.06,1.25,0.008
2022-08-22,126.46195220947266,60.86406326293945,412.5270385742188,252.8580780029297,274.0284423828125,82.23409271240234,47.71128845214844,28.0,206.1205139160156,89.34991455078125,-2.14,-0.04,0.38,0.19,0.2,0.008
2022-08-23,125.70626068115234,60.9304313659668,413.2808227539063,250.54052734375,272.7359924316406,81.98241424560547,49.25935745239258,27.809999465942383,204.3321228027344,93.14212036132812,-0.11,0.12,0.32,-0.37,-0.19,0.008
2022-08-24,124.29749298095705,61.01575469970703,413.84381103515625,250.8482360839844,272.0946960449219,83.29893493652344,48.28731536865234,28.709999084472656,204.20367431640625,93.69337463378906,0.4,0.52,-0.62,-1.44,-0.48,0.008
2022-08-25,124.9972152709961,61.30964660644531,418.5479736328125,252.4829864501953,275.1137084960937,84.5960922241211,48.58433151245117,29.6200008392334,207.31610107421875,94.1781005859375,1.45,0.12,-0.01,0.15,-0.38,0.008
2022-08-26,121.6385726928711,59.830711364746094,411.3819885253906,247.08831787109372,264.49786376953125,81.37255096435547,48.37731170654297,28.57999992370605,200.4687957763672,93.01856231689452,-3.38,-0.27,1.68,0.22,0.85,0.008
2022-08-29,121.5732650756836,59.47045516967773,409.9984130859375,245.8478240966797,261.6761779785156,81.43062591552734,48.99834442138672,28.739999771118164,199.9154815673828,95.15704345703124,-0.72,-0.39,0.43,0.25,0.43,0.008
2022-08-30,120.8922119140625,58.92058944702149,405.6377258300781,243.7611389160156,259.44647216796875,80.74333953857422,46.86524200439453,28.709999084472656,198.9768218994141,91.53589630126952,-1.11,-0.38,-0.24,-0.24,0.12,0.008
2022-08-31,119.83796691894533,58.503456115722656,403.5245971679688,243.92547607421875,257.966552734375,81.38223266601562,45.46117401123047,28.76000022888184,196.33868408203125,90.8515853881836,-0.74,0.23,-0.44,-0.63,-0.13,0.008
2022-09-01,120.96685028076172,58.77838134765625,405.9259033203125,247.9767303466797,256.910888671875,82.66971588134766,44.90315246582031,28.920000076293945,197.7417449951172,89.21685028076172,-0.01,-1.04,-0.29,0.62,0.55,0.009
2022-09-02,119.22222137451172,57.97255325317383,402.04541015625,246.0816345214844,252.6290740966797,80.28836059570312,45.75819396972656,29.049999237060547,195.40000915527344,90.8515853881836,-0.99,0.11,1.06,-0.06,0.26,0.009
2022-09-06,118.2239761352539,58.00099182128906,401.28656005859375,245.96560668945312,249.8567047119141,81.81785583496094,45.677188873291016,28.88999938964844,196.2695159912109,90.24331665039062,-0.51,-0.54,-0.51,-0.17,-0.7,0.009
2022-09-07,119.14759063720705,59.0722770690918,403.5534057617188,249.86215209960935,254.6318359375,85.48667907714844,44.60614013671875,30.030000686645508,198.02825927734372,89.47347259521484,1.92,0.41,-1.53,-1.3,-0.54,0.009
2022-09-08,119.85663604736328,58.89215087890625,403.0827331542969,251.4671630859375,255.0560607910156,86.59991455078125,44.45313262939453,30.68000030517578,198.31480407714844,90.20529174804688,0.78,-0.15,-0.2,-1.29,-1.02,0.009
2022-09-09,120.52835845947266,59.08175277709961,404.8885192871094,250.9257049560547,260.9164733886719,85.85453033447266,45.61418533325195,31.780000686645508,202.7512359619141,91.71648406982422,1.67,0.38,-0.52,-0.1,-0.49,0.009
2022-09-12,121.89981079101562,59.25239944458008,402.1126403808594,251.74755859375,263.0771789550781,86.22238159179688,45.83019256591797,32.5,204.16416931152344,92.7714614868164,1.07,0.25,-0.17,-0.13,-0.13,0.009
2022-09-13,118.71843719482422,57.3278923034668,393.1701354980469,245.9075927734375,248.61358642578125,85.03170013427734,44.74113845825195,31.31999969482422,197.2872314453125,90.60447692871094,-4.29,0.05,1.44,-0.3,0.89,0.009
2022-09-14,119.12893676757812,57.631256103515625,400.1819763183594,247.2515563964844,248.84051513671875,89.73632049560547,46.09120559692383,33.04999923706055,197.0303192138672,92.82848358154295,0.44,-0.18,-0.28,-0.73,-0.43,0.009
2022-09-15,117.07642364501952,56.84819793701172,397.2620239257813,245.0760498046875,242.0921630859375,89.27168273925781,45.0561637878418,33.130001068115234,193.0385284423828,90.12926483154295,-1.03,0.39,0.54,-0.35,0.23,0.009
